Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
N 516,12130.4,9172814.3,2432,2612700,-2,1.5,0.5,,946,S03729,
N 518,12140.1,9041814.4,2725,712812,1A,1.7,0.6,,952,T00494,
01219+3155,12154,31542414.2,10532,2010622,1,1.2,1,,959,T04111,"AK42,MK991,Sy"
N 521,12200,1280012.7,5 5018,400611,4B R,3.8,3.6,12.5,962,T17004,
N 520,12200,3320012.7,5 2162,1001609,12P,5,2,12.05,966,,"VV231,Arp157,KDG31A&B"
N 522,12207.8,9440314.2,2809,1512812,4A,2.7,0.5,,970,T00525,
N 530,12208.8,-1500014,5007,2712700,1A,1.7,0.5,,965,T00877,I 106
N 524,12210.2,9164211.5,2416,1812700,-1A T,3.5,3.5,11.5,968,S10339,
N 525,12214.7,9263214.5,1624,812812,-2,1.6,0.7,,972,T00523,2146(27)
N 532,12239.5,9001813.5,2384,412812,1,2.8,0.9,,982,T00508,
I1700,12242,14360014.3,6356,1912712,-7,2,2,,986,S04151,
01227+3153,12242.7,31523114,4653,2010622,1,2.6,0.8,,987,,"Sy2,MK993"
N 533,12257,1295813.4,4 5544,1802700,-5,4,3,12.5,992,S02613,*
N 541,12311,-1381814,5417,2012700,-3,2.4,2.4,13,1004,T00779,"3C40,Arp133,A194-D34"
I1702,12312,16200014.5,4206,3712700,5A,1.5,1.2,,1005,T03759,
I 112,12324.3,11110414.2,5810,4112700,5P,0.9,0.4,,1008,T04408,AK46
N 545,12326.3,-1360713.7,5321,1712700,-3A,3,2,13.03,1007,S02183,"*3C40,Arp308,KDG32A,A194-"
N 547,12327.8,-1361813.4,5524,1612700,-5,1.5,1.5,13.35,1009,S02182,"*3C40,Arp308,KDG32B,A194-"
N 550,12408,1454613.6,5829,2412700,1,2,1,,1021,T00541,
I1706,12430,14310014.2,6441,4312700,6P,1.2,0.8,,1027,T17200,
01248+1855,12448,18550013.8,5012,3512700,-2B R,0.7,0.5,,1032,T02335,MK359
01248+3118,12448,31180014.4,4038,2010622,5,3.4,0.7,,1033,,
N 560,12452.7,-2102114,5536,2112700,-3,2,0.6,13.85,1036,T17315,A194-D4
N 564,12515.5,-2081813.8,5843,2512700,-5,1.9,1.5,13.45,1044,T17316,A194-D6
N 565,12537.1,-1335714.5,4505,2312700,1,1.5,0.5,,1052,T02477,A194-D47
I 121,12547,2151614.3,9024,2612700,4A,1.1,0.6,,1053,T02057,
N 570,12625.4,-1122914.2,5491,3012700,1B T,2.5,1.7,,1061,T02478,
01264-0049,12626.3,-491014,5472,2312700,20,1.6,0.9,,1062,T00878,
N 575,12802.8,21105613.8,3140,2912700,5B,1.9,1.8,,1081,T00896,I1710
N 577,12807.7,-2150614.2,5935,1712700,1B,2.2,1.8,,1080,S02077,
N 585,12908.8,-1112214.2,5389,2512700,1A,2.7,0.8,,1092,T02181,
01300+1804,12959.7,18033314.3,686,3612812,10,1.2,0.8,,1104,,
I1715,13054.9,12194814.5,4183,3312700,10,0.7,0.5,,1115,T02119,
N 598,13104.6,302340 6.5,-180,110100,5A4s,73,45,6.26,01117 0,0.66,"M33,TRIANGULUM,Dsrc=R"
01316-0117,13134.8,-1171614.4,4929,2612700,2A,1.5,0.5,,1123,T02068,
N 606,13206,21100014.5,9956,3012700,5B,1.7,1.5,,1126,T02190,
N 622,13325.6,243514.1,5187,3012700,4B T,2.1,1.7,,1143,T17508,MK571
N 628,13400.7,15315510.5,659,112812,5A1s,12,12,9.75,1149,,
01344+2838,13424,28380014.4,7756,2010622,0,0.9,0.8,,1154,,
01346+0438,13436,4380014.5,3158,3112700,4,0.9,0.7,,1155,T01990,
N 632,13442,5370013.5,3151,2012712,-2,1.7,1.3,,1157,T10305,MK1002
01363+0050,13618,500014.2,4992,3412700,-2,1.4,0.6,,1169,T02048,
N 638,13700.6,6590514.4,3178,3012700,-5,0.9,0.6,,1170,T01991,MK1003
N 645,13736,5280013.8,3304,710611,4B,3,1.3,,1177,T19842,
I1721,13848,8150014.3,4299,3712700,5,1.2,0.5,,1187,T02093,
N 658,13929.8,12210213.6,2964,2712700,3,3.5,1.7,,1192,T19888,
N 656,13939.9,25533013.5,3916,2912700,-2,1.5,1.3,,1194,T03617,
01397+1343,13946.4,13433013.9,759,312812,10,3.5,1.1,,1195,T00860,
01401+1254,14008.2,12541914.3,813,412812,10,2.1,1.5,,1200,,
N 660,14020.7,13233211.9,0  849,702812,1B P,10,4.5,11.5,1201,,
I1723,14036,8380014.2,5498,2112700,3A,3.6,0.9,,1205,S03704,
N 664,14110,3590013.9,5425,510620,3,1.8,1.5,,1210,T19889,
01414+0206,14122.9,2055714,5174,2312700,-2X,1.7,1.6,,1214,S20015,"Sy2,MK573"
N 661,14124,28271813,3836,1612700,-7,2,1.6,12.77,1215,T10124,*
01416+1713,14136,17130013.6,4611,810620,20B,1.4,0.6,,1219,T00542,
N 665,14218,10100013.5,5420,2012700,-2,2.4,1.6,,1223,T00858,
N 671,14418,12520014.3,5460,2812700,4,1.7,0.6,,1247,T02121,
N 670,14436,27380013,4 3717,2322700,-2A,2.2,0.8,13,1250,T15823,
I1727,14442,27050012.2,428,3312700,9B6s,8,3,12.1,1249,T03930,"VV338,336(0624),KDG40A"
N 672,14506,27110011.4,411,610100,6B5s,7.2,2.8,11.35,1256,T13923,"VV338,KDG40B"
N 673,14542.9,11162813.3,5187,510620,5X s,2.3,1.7,,1259,T15826,
01458+1221,14553,12220014,5485,810620,1B P,0.9,0.7,,1260,T15825,MK575
01460+2000,14600,20000014.5,8921,2912700,3A D,1.1,0.6,,1265,T02090,KDG41A&B
I 162,14606,10150014.2,5354,3312712,-1,1,0.7,,1266,T04243,"VV54,MK1007,Arp228"
N 676,14618,5400010.5,1468,2812700,0,5,1.8,,1270,T17655,
N 677,14630,12480014.3,5100,2212700,-7,2,2,,1275,T02205,
I 163,14630.3,20274813.8,2744,410611,8B,2,0.9,,1276,T00827,
N 678,14639.3,21445813.3,2723,612812,3,5,1.1,,1280,T03620,
01468+1215,14648,12150014.2,5221,2512700,0,1.6,0.7,,1282,T03931,MK577
N 680,14701,21432413,2935,1312700,-7,2.7,2.4,12.44,1286,S02784,*
I1731,14718,26570014.2,3426,3912700,5A,1.7,1.1,,1291,T03651,
N 684,14724,27240013.2,3533,610611,3,3.4,0.9,,1292,,I 165
N 693,14754,5540013.5,1567,510620,0,3.2,1.6,,1304,T05955,
N 691,14755.1,21304513.5,2665,812812,4,3.8,2.7,,1305,T00780,
N 694,14812,21450013.9,2926,3612700,-2  P,0.55,0.35,,1310,T15859,"MK363,VZw122"
I 167,14822.2,21400114,2932,510620,5X s,3,1.7,,1313,T00781,
N 695,14824,22200013.7,9705,3712700,5,0.5,0.45,,1315,T04491,VZw123
N 697,14830.9,22064312.7,3121,810620,4X R,5.1,1.7,,1317,T13922,
01489+0800,14854,8000014.2,5538,1612712,-7,1.8,1.8,,1325,S04153,KDG44A
N 706,14912,6030013.2,4980,510620,5A,2.1,1.7,,1334,T00856,
N 711,14942,17160014.5,4928,4712700,-2,1.7,0.8,,1342,T02089,
I1743,15012,12280014,4560,610620,1B,2.1,0.9,,1351,T00854,
N 718,15036.5,3570312.8,1 1756,2202700,1X s,2.6,2.2,12.5,1356,T02591,
01508+2941,15050.3,29410014.2,7683,2912700,3,0.9,0.8,,1359,T03603,
01527+0621,15244.8,6220014.5,5208,3612707,3A,1.7,1.5,,1395,T02191,Sy2
N 741,15344.2,5230313.2,5553,1812700,-5,3,3,12.3,1413,S03730,"*IIIZw38A,VV175"
01556+0250S,15536,2500014.5,5431,35H2700,9B P,0.45,0.35,,01449A,T02482,"MK582SW,KGD47A,Arp126,VV"
01556+2507,15536,25070014.3,4916,2912700,3B,1.3,0.7,,1451,T03733,
N 765,15600,24390014.2,5117,2912700,4,3,3,,1455,T03734,
N 768,15606,170014.3,6994,1912700,3A,2.1,1.2,,1457,S02667,KDG49A
N 766,15606,8060014.4,8104,3912700,-7,2,2,,1458,T02092,
N 770,15630,18430014.2,2543,2212712,-5,1.1,0.8,,1463,T00829,Arp78-G1
N 772,15635.3,18455011.3,2460,612812,3A1s,8,5,11.1,1466,,Arp78
N 774,15654,13460014.4,4595,2312700,-2,2,1.5,,1469,T02221,
N 776,15706,23240013.4,4924,910620,-3X,1.9,1.9,,1471,T15861,
N 781,15728.1,12244814,3483,2012700,3,1.7,0.5,,1482,T00857,
I1764,15736,24200014.5,5029,3112700,3,1.7,1.7,,1486,T03638,
01578+2103,15745.9,21024514.1,3088,512812,12P,0.5,0.22,,1490,T03542,
01583+0804,15818,8040014.4,4690,3412700,7,1,0.5,,1498,T15862,
N 784,15825,28354712.1,198,110912,9B,6.8,1.8,12.26,1501,T03622,
N 786,15836,15240014.3,4465,3612700,7,0.8,0.7,,1506,T02086,KDG50A&B
01587+2615,15842,26150013.9,5179,2312700,1B,2.1,0.8,,1507,S03707,
01589+2618,15854,26180014.4,5009,1510613,1X s,0.6,0.3,,1510,,"AK71,Sy"
N 799,15938.7,-203014.2,5834,2612700,1B,2.5,2,,1527,T02219,KDG52B
N 794,15942,18080014,8225,2412700,-3,1.3,1.1,,1528,T00844,I 191
02008+2350,20048.4,23500314.1,2669,512812,8B8,3,1.5,,1551,,
I 195,20100,14280014.3,3648,2812712,-2,1.5,0.8,,1555,T04131,"KDG53A,Arp290"
N 803,20100,15470013.3,0 2099,500620,5A s,3.5,1.6,13.01,1554,,
I 196,20106,14300014.2,3640,2112712,-3B,3,1.5,,1556,T04132,"KDG53B,Arp290"
I 197,20130,2330014.3,6332,1912700,4B,1,0.5,,1564,T02570,
N 807,20200,28450013.8,4683,2012700,-7,2.2,1.6,,1571,T03592,
02021+0818,20206,8180014.3,3508,3112700,6,1.5,0.4,,1572,T02231,
I1776,20236,5520014.4,3405,3012700,5B,2.3,2.2,,1579,S02232,
02032+2933,20312,29330014,5002,2812700,-3,1.9,1.4,,1590,T03604,
02033+2944,20318,29440014.5,4835,2512700,3,1.5,0.22,,1591,T03605,
N 817,20448,16580013.9,4520,1010620,0,0.8,0.35,,1611,T00809,
N 820,20536,14060013.7,4418,510620,3A,1.5,0.9,,1629,,
02056+1444,20536,14440014.3,4405,3212700,3P,1.2,0.6,,1630,T02222,
N 821,20540.5,10453212.6,1716,3512700,-5,3.3,2.2,11.8,1631,T02244,
N 819,20542,29000014.1,6566,3612700,5,0.65,0.45,,1632,T03593,
N 825,20554,6050014.5,3403,1612700,1,2.5,1.1,,1636,S04154,KDG56B
N 827,20612,7440014,3458,510620,20,2.7,1.4,,1640,T00830,
02064+2520,20623.2,25200614.5,4809,4012700,2,1.2,0.8,,1648,T03639,
02080+0538,20800,5380014.5,4568,3012700,1,1.1,0.8,,1669,T04155,MK587
I 211,20830,3380014.5,3266,1510200,5X s,2.6,2.1,,1678,T03761,KDG59A
N 850,20836,-1440014.1,8164,1712700,0,1.5,1.4,,1679,S03804,
